List,Card Title,Priority,Labels,Test Command,Description
Setup & Workflow,Create repo-local Git slice workflow,P0,"Tooling,Docs",npm run git:status,"Goal:
Create the agent-facing Git workflow tools under tools/agent/ so every slice can be tested, committed, logged, and pushed.

Implementation notes:
- Use tools/agent/git-init.sh, git-slice.sh, git-status.sh.
- Expose npm scripts: git:init, git:status, git:slice.
- Add .cline/rules/git-workflow.md.

Acceptance criteria:
- npm run git:init works.
- npm run git:status works.
- git:slice runs tests before committing.
- docs/SLICE_LOG.md is updated.
- No secrets/node_modules/build artifacts are committed.

Commit after:
npm run git:slice -- ""create repo-local git slice workflow"" ""npm run git:status"""
Setup & Workflow,Validate assignment files and constraints,P0,"Tooling,Tests,Risk",manual,"Goal:
Confirm the assignment structure, uploaded CSVs, tests, required port, and source-code constraints before implementation.

Implementation notes:
- Do not modify tests/ or data/.
- Capture any README/test mismatch in docs/IMPLEMENTATION_NOTES.md.

Acceptance criteria:
- Confirm backend/frontend code lives under src/.
- Confirm API base is /api.
- Confirm server listens on port 3000.
- Confirm tests are authoritative when they disagree with README.

Commit after:
npm run git:slice -- ""validate assignment files and constraints"" ""manual"""
Setup & Workflow,Create project skeleton,P0,"Tooling,Backend,Frontend",npm run build,"Goal:
Create the initial Node.js TypeScript backend and React TypeScript frontend structure under src/.

Implementation notes:
- Keep structure simple and assignment-focused.
- Do not implement business features in this card.

Acceptance criteria:
- Backend entrypoint exists.
- Frontend app shell exists.
- Shared types/config folders exist if useful.
- Root scripts exist for dev/build/start/test helpers.

Commit after:
npm run git:slice -- ""create project skeleton"" ""npm run build"""
Setup & Workflow,Configure environment and safe defaults,P0,"Tooling,Database,Security",npm run build,"Goal:
Create safe config loading for PostgreSQL, Redis, server port, and runtime mode.

Implementation notes:
- Default DB should match assignment: localhost:5432 postgres/postgres order_ops.
- Default Redis should match localhost:6379.
- .env.example only, never real .env.

Acceptance criteria:
- .env.example exists.
- Config can be overridden by environment variables.
- Missing optional Redis does not crash basic API if not required.
- .env is ignored by Git.

Commit after:
npm run git:slice -- ""configure environment and safe defaults"" ""npm run build"""
Setup & Workflow,Add root test runner shortcuts,P1,"Tooling,Tests",npm run test:basic,"Goal:
Add root scripts that run assignment tests from the tests folder when it exists.

Implementation notes:
- Scripts should fail clearly if tests/ is missing.

Acceptance criteria:
- Can run basic tests from root.
- Can run filter/agg/anomaly/bulk/concurrent/perf/realtime/security tests.
- Can run full grade command if available.

Commit after:
npm run git:slice -- ""add root test runner shortcuts"" ""npm run test:basic"""
Data + DB Foundation,Explore CSV data and edge cases,P0,"Database,Risk,Tests",npm run data:inspect,"Goal:
Analyze the CSV files before final schema/import design.

Implementation notes:
- Inspect orders, suppliers, products, categories.
- Generate a short docs/DATA_NOTES.md.

Acceptance criteria:
- Record row counts: 50,000 orders, 500 suppliers, 5,000 products, 195 categories.
- Identify null/empty warehouses.
- Identify negative quantities.
- Identify price mismatches.
- Identify inactive suppliers with orders.
- Identify timestamp anomalies.
- Identify circular categories.
- Identify XSS-like notes.

Commit after:
npm run git:slice -- ""explore csv data and edge cases"" ""npm run data:inspect"""
Data + DB Foundation,Design PostgreSQL schema,P0,"Database,Backend",npm run db:migrate,"Goal:
Create database schema for suppliers, categories, products, orders, jobs, and job_items.

Implementation notes:
- Use text IDs from CSVs as primary keys.
- Add version/lock field to orders for optimistic concurrency.
- Keep schema practical for tests and performance.

Acceptance criteria:
- Suppliers table supports active/rating/country.
- Categories supports parent_id.
- Products references category_id.
- Orders references supplier_id and product_id.
- Jobs and job_items support bulk progress.
- Schema can be recreated from scratch.

Commit after:
npm run git:slice -- ""design postgresql schema"" ""npm run db:migrate"""
Data + DB Foundation,Create migrations and indexes,P0,"Database,Performance",npm run db:migrate,"Goal:
Implement migration scripts for all tables and performance indexes.

Implementation notes:
- Indexes should support filtering, sorting, joins, aggregations, anomaly checks, and job polling.

Acceptance criteria:
- Indexes exist for orders status, priority, supplier_id, warehouse, created_at, total_price, product_id.
- Indexes exist for products category_id and lower/name search strategy.
- Indexes exist for jobs/job_items status and job_id.
- Migrations are repeatable or have a safe reset path.

Commit after:
npm run git:slice -- ""create migrations and indexes"" ""npm run db:migrate"""
Data + DB Foundation,Implement CSV import pipeline,P0,"Database,Backend",npm run data:import,"Goal:
Import all CSV seed data into PostgreSQL.

Implementation notes:
- Handle empty strings/nulls.
- Parse booleans/numbers/timestamps safely.
- Use batch inserts or COPY for speed.

Acceptance criteria:
- Imports all 4 CSVs.
- Final counts match expected counts.
- Import can reset and rerun cleanly.
- No malformed rows silently disappear.
- Import preserves notes as strings.

Commit after:
npm run git:slice -- ""implement csv import pipeline"" ""npm run data:import"""
Data + DB Foundation,Implement recursive category lookup with cycle guard,P0,"Database,Backend,Risk",npm run test:basic,"Goal:
Support product filtering by category including all descendant categories, while avoiding infinite loops from circular data.

Implementation notes:
- Can use recursive CTE with cycle protection or app-level traversal with visited set.

Acceptance criteria:
- GET /api/products?category=cat_001 includes child-category products.
- Circular category data cannot hang/crash.
- Category filter remains performant.

Commit after:
npm run git:slice -- ""implement recursive category lookup with cycle guard"" ""npm run test:basic"""
